product_name,riview_title,rating,customer_name,date,description,image,video
"GIGABYTE GeForce RTX 3060 Gaming OC 12G (REV2.0) Graphics Card, 3X WINDFORCE Fans, 12GB 192-bit GDDR6, GV-N3060GAMING OC-12GD Video Card",I love Nvidia,4.0 out of 5 stars,Amazon Customer,"Reviewed in the United States on July 11, 2024","This is a good card however, the GTX1070 this replaced did a BETTER job IMO. My 1070 made a pop and was smoking after like 5 or 6 years, really bummed me out, so I got the RTX3060 as the pricing was the sweet spot for me, I thought that since it was so much newer, and the name has a much higher number (3060 vs 1070), and its Nvidia, that the performance would be quite phenomenal compared to what I had. Nope. (that's why 4 stars instead of 5) Meager difference with my (Asus Rampage 4 Extreme 2011 socket mobo, 32 gig ripjaw ram, intel i7-3820 cpu, 64X). Again, it IS a good video card but I should have went for the 4000 series for more cash.....probably.",[],
"GIGABYTE GeForce RTX 3060 Gaming OC 12G (REV2.0) Graphics Card, 3X WINDFORCE Fans, 12GB 192-bit GDDR6, GV-N3060GAMING OC-12GD Video Card",Good GPU for Seasonal Gamer,5.0 out of 5 stars,X0l4nD34,"Reviewed in the United States on July 8, 2024","Received and Installed within 15 minutes. Setup Fan settings on Gigabyte app. At first I noticed that the fans were not spinning, So check the software settings if it is in auto stop just to check if the fans are working turn off auto stop and make sure you click APPLY and you're done. CONGRATULATIONS.",['image_1.jpg'],
"GIGABYTE GeForce RTX 3060 Gaming OC 12G (REV2.0) Graphics Card, 3X WINDFORCE Fans, 12GB 192-bit GDDR6, GV-N3060GAMING OC-12GD Video Card",Powerful,5.0 out of 5 stars,Dustin,"Reviewed in the United States on July 6, 2024","My first upgrade from a GTX 1660 Ti. Very powerful GPU. The Gigabyte logo has a RGB light that is customizable through the GPU software. My temps remain low, using with AMD Ryzen 5 5600x. I consistently get about 140-180 FPS on COD:MW3 using a 180hz monitor. Pay attention to dimensions!","['image_2.jpg', 'image_3.jpg']",
"GIGABYTE GeForce RTX 3060 Gaming OC 12G (REV2.0) Graphics Card, 3X WINDFORCE Fans, 12GB 192-bit GDDR6, GV-N3060GAMING OC-12GD Video Card",it workeds,5.0 out of 5 stars,Bradley Cicero,"Reviewed in the United States on July 30, 2024",best an worked,[],
"GIGABYTE GeForce RTX 3060 Gaming OC 12G (REV2.0) Graphics Card, 3X WINDFORCE Fans, 12GB 192-bit GDDR6, GV-N3060GAMING OC-12GD Video Card",Work well,5.0 out of 5 stars,D. Irving,"Reviewed in the United States on July 22, 2024",Went from a 6G 2060 to a 12G 3060 speeded up AI rendering.,[],
"GIGABYTE GeForce RTX 3060 Gaming OC 12G (REV2.0) Graphics Card, 3X WINDFORCE Fans, 12GB 192-bit GDDR6, GV-N3060GAMING OC-12GD Video Card",Good,5.0 out of 5 stars,it arrived perfect,"Reviewed in the United States on July 2, 2024","works a. Perfection, almost like new, gave good results in the benchmark","['image_4.jpg', 'image_5.jpg']",
"GIGABYTE GeForce RTX 3060 Gaming OC 12G (REV2.0) Graphics Card, 3X WINDFORCE Fans, 12GB 192-bit GDDR6, GV-N3060GAMING OC-12GD Video Card",Item itself good.,4.0 out of 5 stars,chastity white,"Reviewed in the United States on April 17, 2024","Item works exactly like it's suppose to.  No complaints from my kid who uses it. Came 2 weeks later than it was suppose and there were no good communicative updates from the seller and I was beginning to wonder if it were to ever arrive,  but it did.  Just an update that said delay.  So I guess if you buy just be patient and expect for arrival dates to change.  I'd still buy again even with that hiccup.",[],
"GIGABYTE GeForce RTX 3060 Gaming OC 12G (REV2.0) Graphics Card, 3X WINDFORCE Fans, 12GB 192-bit GDDR6, GV-N3060GAMING OC-12GD Video Card",,5.0 out of 5 stars,Jorge,"Reviewed in the United States on June 12, 2024",Buena targetica cuando llegó la probé en mi pc trabaja bien pero note que la caja estaba rota en las esquinas como si la hubieran abierto muchas veces no se para que porque se supone que es nueva solo dejo esta nota por si acaso las cosas deben de venir nuevas sin abrir es lo correcto,[],video_1.mp4
"GIGABYTE GeForce RTX 3060 Gaming OC 12G (REV2.0) Graphics Card, 3X WINDFORCE Fans, 12GB 192-bit GDDR6, GV-N3060GAMING OC-12GD Video Card",So far does what it is suppose to do. Would Recommend,5.0 out of 5 stars,April,"Reviewed in the United States on June 18, 2024",So far does what it is suppose to do. Would Recommend,[],
"GIGABYTE GeForce RTX 3060 Gaming OC 12G (REV2.0) Graphics Card, 3X WINDFORCE Fans, 12GB 192-bit GDDR6, GV-N3060GAMING OC-12GD Video Card",Good AI performance,5.0 out of 5 stars,Optimus Prime,"Reviewed in the United States on May 19, 2024","Im having no trouble with running SDXL or Llama3 with this card. Im considering getting a second and third card as time goes on.It works good for games, atleast the ones Ive played, My system only has linux installed so things are limited. BG3 and Hitman both run great on max settings.",[],
